INSERT INTO `STUDENT`(`ROLL_NO`, `STUDENT_NAME`, `COURSE`, `YEAR`) VALUES 
(20232781, 'Parul Gupta', 'BVoc. Software Development', '2nd'),
(20232782, 'Siddhi Sharma', 'BVoc. Software Development', '2nd'),
(20232783, 'Rakesh Desai', 'BVoc. Software Development', '2nd'),
(20232784, 'Swati Singh', 'BVoc. Software Development', '2nd'),
(20232785, 'Nikhil Joshi', 'BVoc. Software Development', '2nd'),
(20232786, 'Rupal Nair', 'BVoc. Software Development', '2nd'),
(20232787, 'Adya Verma', 'BVoc. Software Development', '2nd'),
(20232788, 'Ishaan Roy', 'BVoc. Software Development', '2nd'),
(20232789, 'Vani Tiwari', 'BVoc. Software Development', '2nd'),
(20232790, 'Tejas Gupta', 'BVoc. Software Development', '2nd'),
(20232791, 'Anshika Bhatia', 'BVoc. Software Development', '2nd'),
(20232792, 'Kavya Joshi', 'BVoc. Software Development', '2nd'),
(20232793, 'Mohan Patil', 'BVoc. Software Development', '2nd'),
(20232794, 'Kanika Sharma', 'BVoc. Software Development', '2nd'),
(20232795, 'Suraj Jain', 'BVoc. Software Development', '2nd'),
(20232796, 'Ritika Rao', 'BVoc. Software Development', '2nd'),
(20232797, 'Dhruv Kumar', 'BVoc. Software Development', '2nd'),
(20232798, 'Pallavi Verma', 'BVoc. Software Development', '2nd'),
(20232799, 'Anurag Gupta', 'BVoc. Software Development', '2nd'),
(20231101, 'Zenith Lal', 'BSc. Mathematics', '2nd'),
(20231102, 'Anika Verma', 'BSc. Mathematics', '2nd'),
(20231103, 'Kunal Gupta', 'BSc. Mathematics', '2nd'),
(20231104, 'Sneha Reddy', 'BSc. Mathematics', '2nd'),
(20231105, 'Rahul Joshi', 'BSc. Mathematics', '2nd'),
(20231106, 'Maya Singh', 'BSc. Mathematics', '2nd'),
(20231107, 'Rohan Nair', 'BSc. Mathematics', '2nd'),
(20231108, 'Priya Patel', 'BSc. Mathematics', '2nd'),
(20231109, 'Aditya Yadav', 'BSc. Mathematics', '2nd'),
(20231110, 'Nisha Kumar', 'BSc. Mathematics', '2nd'),
(20231111, 'Vikram Sethi', 'BSc. Mathematics', '2nd'),
(20231112, 'Ritika Joshi', 'BSc. Mathematics', '2nd'),
(20231113, 'Harsh Thakur', 'BSc. Mathematics', '2nd'),
(20231114, 'Kriti Sharma', 'BSc. Mathematics', '2nd'),
(20231115, 'Siddharth Bansal', 'BSc. Mathematics', '2nd'),
(20231116, 'Aditi Singh', 'BSc. Mathematics', '2nd'),
(20231117, 'Deepak Rao', 'BSc. Mathematics', '2nd'),
(20231118, 'Pooja Agarwal', 'BSc. Mathematics', '2nd'),
(20231119, 'Tanvi Mehta', 'BSc. Mathematics', '2nd'),
(20231120, 'Aarav Kapoor', 'BSc. Mathematics', '2nd'),
(20231121, 'Mohan Verma', 'BSc. Mathematics', '2nd'),
(20231122, 'Simran Gupta', 'BSc. Mathematics', '2nd'),
(20231123, 'Yash Sharma', 'BSc. Mathematics', '2nd'),
(20231124, 'Neha Nair', 'BSc. Mathematics', '2nd'),
(20231125, 'Raghav Joshi', 'BSc. Mathematics', '2nd'),
(20231126, 'Avantika Singh', 'BSc. Mathematics', '2nd'),
(20231127, 'Nikhil Desai', 'BSc. Mathematics', '2nd'),
(20231128, 'Sakshi Yadav', 'BSc. Mathematics', '2nd'),
(20231129, 'Rahul Bhatia', 'BSc. Mathematics', '2nd'),
(20231130, 'Gaurav Khanna', 'BSc. Mathematics', '2nd'),
(20231131, 'Ayesha Khan', 'BSc. Mathematics', '2nd'),
(20231132, 'Ramesh Patel', 'BSc. Mathematics', '2nd'),
(20231133, 'Meera Sood', 'BSc. Mathematics', '2nd'),
(20231134, 'Harpreet Singh', 'BSc. Mathematics', '2nd'),
(20231135, 'Chaitanya Agarwal', 'BSc. Mathematics', '2nd'),
(20231136, 'Suman Kumari', 'BSc. Mathematics', '2nd'),
(20231137, 'Adya Roy', 'BSc. Mathematics', '2nd'),
(20231138, 'Devendra Thakur', 'BSc. Mathematics', '2nd'),
(20231139, 'Siddhi Rao', 'BSc. Mathematics', '2nd'),
(20231140, 'Aarohi Yadav', 'BSc. Mathematics', '2nd'),
(20231141, 'Karan Bansal', 'BSc. Mathematics', '2nd'),
(20231142, 'Ishaan Sharma', 'BSc. Mathematics', '2nd'),
(20231143, 'Kanika Joshi', 'BSc. Mathematics', '2nd'),
(20231144, 'Pranav Mehta', 'BSc. Mathematics', '2nd'),
(20231145, 'Lavanya Singh', 'BSc. Mathematics', '2nd'),
(20231146, 'Tushar Nair', 'BSc. Mathematics', '2nd'),
(20231147, 'Naina Gupta', 'BSc. Mathematics', '2nd'),
(20231148, 'Vivek Sharma', 'BSc. Mathematics', '2nd'),
(20231149, 'Riya Verma', 'BSc. Mathematics', '2nd'),
(20231150, 'Harshita Patel', 'BSc. Mathematics', '2nd'),
(20231151, 'Samir Joshi', 'BSc. Mathematics', '2nd'),
(20231152, 'Neeraj Kumar', 'BSc. Mathematics', '2nd'),
(20231153, 'Pallavi Yadav', 'BSc. Mathematics', '2nd'),
(20231154, 'Rakesh Nair', 'BSc. Mathematics', '2nd'),
(20231155, 'Sonia Agarwal', 'BSc. Mathematics', '2nd'),
(20231156, 'Ankit Bansal', 'BSc. Mathematics', '2nd'),
(20231157, 'Zara Khan', 'BSc. Mathematics', '2nd'),
(20231158, 'Nikita Roy', 'BSc. Mathematics', '2nd'),
(20231159, 'Siddharth Kapoor', 'BSc. Mathematics', '2nd'),
(20231160, 'Kavya Verma', 'BSc. Mathematics', '2nd'),
(20231161, 'Rohan Sethi', 'BSc. Mathematics', '2nd'),
(20231162, 'Shivani Kumar', 'BSc. Mathematics', '2nd'),
(20231163, 'Arnav Yadav', 'BSc. Mathematics', '2nd'),
(20231164, 'Ritika Patel', 'BSc. Mathematics', '2nd'),
(20231165, 'Anjali Sharma', 'BSc. Mathematics', '2nd'),
(20231166, 'Deepak Joshi', 'BSc. Mathematics', '2nd'),
(20231167, 'Nikhil Singh', 'BSc. Mathematics', '2nd'),
(20231168, 'Aditi Rao', 'BSc. Mathematics', '2nd'),
(20231169, 'Harsh Bansal', 'BSc. Mathematics', '2nd'),
(20231170, 'Sonam Yadav', 'BSc. Mathematics', '2nd'),
(20231171, 'Ishita Verma', 'BSc. Mathematics', '2nd'),
(20231172, 'Aarav Desai', 'BSc. Mathematics', '2nd'),
(20231173, 'Manan Singh', 'BSc. Mathematics', '2nd'),
(20231174, 'Pooja Rao', 'BSc. Mathematics', '2nd'),
(20231175, 'Kriti Gupta', 'BSc. Mathematics', '2nd'),
(20231176, 'Anurag Sharma', 'BSc. Mathematics', '2nd'),
(20231177, 'Lavanya Joshi', 'BSc. Mathematics', '2nd'),
(20231178, 'Dhruv Agarwal', 'BSc. Mathematics', '2nd'),
(20231179, 'Swati Nair', 'BSc. Mathematics', '2nd'),
(20231180, 'Rashmi Kumar', 'BSc. Mathematics', '2nd'),
(20231181, 'Neha Kapoor', 'BSc. Mathematics', '2nd'),
(20231182, 'Rajesh Bansal', 'BSc. Mathematics', '2nd'),
(20231183, 'Tanvi Singh', 'BSc. Mathematics', '2nd'),
(20231184, 'Aarushi Yadav', 'BSc. Mathematics', '2nd'),
(20231185, 'Mohit Sharma', 'BSc. Mathematics', '2nd'),
(20231186, 'Priti Verma', 'BSc. Mathematics', '2nd'),
(20231187, 'Karan Patel', 'BSc. Mathematics', '2nd'),
(20231188, 'Himani Joshi', 'BSc. Mathematics', '2nd'),
(20231189, 'Nishant Kumar', 'BSc. Mathematics', '2nd'),
(20231190, 'Sakshi Mehta', 'BSc. Mathematics', '2nd'),
(20231191, 'Akshay Rao', 'BSc. Mathematics', '2nd'),
(20231192, 'Tanya Singh', 'BSc. Mathematics', '2nd'),
(20231193, 'Kavya Agarwal', 'BSc. Mathematics', '2nd'),
(20231194, 'Vansh Nair', 'BSc. Mathematics', '2nd'),
(20231195, 'Alok Gupta', 'BSc. Mathematics', '2nd'),
(20231196, 'Ankita Verma', 'BSc. Mathematics', '2nd'),
(20231401, 'Nandini Singh', 'BCOM', '2nd'),
(20231402, 'Aarav Sharma', 'BCOM', '2nd'),
(20231403, 'Riya Gupta', 'BCOM', '2nd'),
(20231404, 'Kunal Verma', 'BCOM', '2nd'),
(20231405, 'Sneha Patel', 'BCOM', '2nd'),
(20231406, 'Mohit Nair', 'BCOM', '2nd'),
(20231407, 'Ananya Yadav', 'BCOM', '2nd'),
(20231408, 'Rahul Joshi', 'BCOM', '2nd'),
(20231409, 'Pooja Agarwal', 'BCOM', '2nd'),
(20231410, 'Aditya Singh', 'BCOM', '2nd'),
(20231411, 'Neha Reddy', 'BCOM', '2nd'),
(20231412, 'Vikram Bansal', 'BCOM', '2nd'),
(20231413, 'Kriti Sharma', 'BCOM', '2nd'),
(20231414, 'Harsh Thakur', 'BCOM', '2nd'),
(20231415, 'Siddharth Mehta', 'BCOM', '2nd'),
(20231416, 'Tanya Roy', 'BCOM', '2nd'),
(20231417, 'Divya Jain', 'BCOM', '2nd'),
(20231418, 'Karan Sethi', 'BCOM', '2nd'),
(20231419, 'Simran Verma', 'BCOM', '2nd'),
(20231420, 'Yash Gupta', 'BCOM', '2nd'),
(20231421, 'Nisha Khanna', 'BCOM', '2nd'),
(20231422, 'Aditi Yadav', 'BCOM', '2nd'),
(20231423, 'Rahul Bhatia', 'BCOM', '2nd'),
(20231424, 'Raghav Kapoor', 'BCOM', '2nd'),
(20231425, 'Pallavi Desai', 'BCOM', '2nd'),
(20231426, 'Nikhil Nair', 'BCOM', '2nd'),
(20231427, 'Lavanya Kumar', 'BCOM', '2nd'),
(20231428, 'Deepak Joshi', 'BCOM', '2nd'),
(20231429, 'Maya Singh', 'BCOM', '2nd'),
(20231430, 'Ishaan Roy', 'BCOM', '2nd'),
(20231431, 'Neeraj Gupta', 'BCOM', '2nd'),
(20231432, 'Ayesha Khan', 'BCOM', '2nd'),
(20231433, 'Vansh Sood', 'BCOM', '2nd'),
(20231434, 'Kavya Yadav', 'BCOM', '2nd'),
(20231435, 'Anjali Rani', 'BCOM', '2nd'),
(20231436, 'Tushar Sharma', 'BCOM', '2nd'),
(20231437, 'Sakshi Singh', 'BCOM', '2nd'),
(20231438, 'Rohit Agarwal', 'BCOM', '2nd'),
(20231439, 'Himanshu Desai', 'BCOM', '2nd'),
(20231440, 'Aarav Bansal', 'BCOM', '2nd'),
(20231441, 'Kriti Mehta', 'BCOM', '2nd'),
(20231442, 'Sonam Gupta', 'BCOM', '2nd'),
(20231443, 'Dhruv Nair', 'BCOM', '2nd'),
(20231444, 'Tanya Jain', 'BCOM', '2nd'),
(20231445, 'Riya Kapoor', 'BCOM', '2nd'),
(20231446, 'Ankit Singh', 'BCOM', '2nd'),
(20231447, 'Mohan Sharma', 'BCOM', '2nd'),
(20231448, 'Siddhi Roy', 'BCOM', '2nd'),
(20231449, 'Naina Khanna', 'BCOM', '2nd'),
(20231450, 'Pranav Yadav', 'BCOM', '2nd'),
(20231451, 'Suman Rani', 'BCOM', '2nd'),
(20231452, 'Isha Gupta', 'BCOM', '2nd'),
(20231453, 'Rakesh Joshi', 'BCOM', '2nd'),
(20231454, 'Saloni Verma', 'BCOM', '2nd'),
(20231455, 'Gaurav Thakur', 'BCOM', '2nd'),
(20231456, 'Kanika Rao', 'BCOM', '2nd'),
(20231457, 'Rajesh Singh', 'BCOM', '2nd'),
(20231458, 'Aditi Sharma', 'BCOM', '2nd'),
(20231459, 'Karan Mehta', 'BCOM', '2nd'),
(20231460, 'Lavanya Jain', 'BCOM', '2nd'),
(20231461, 'Ishika Bansal', 'BCOM', '2nd'),
(20231462, 'Aarav Reddy', 'BCOM', '2nd'),
(20231463, 'Chandni Yadav', 'BCOM', '2nd'),
(20231464, 'Nishant Gupta', 'BCOM', '2nd'),
(20231465, 'Simran Roy', 'BCOM', '2nd'),
(20231466, 'Rohan Verma', 'BCOM', '2nd'),
(20231467, 'Kavya Khanna', 'BCOM', '2nd'),
(20231468, 'Vivek Patel', 'BCOM', '2nd'),
(20231469, 'Ananya Jain', 'BCOM', '2nd'),
(20231470, 'Adya Singh', 'BCOM', '2nd'),
(20231471, 'Rajat Sharma', 'BCOM', '2nd'),
(20231472, 'Nikita Rani', 'BCOM', '2nd'),
(20231473, 'Kunal Roy', 'BCOM', '2nd'),
(20231474, 'Divya Bansal', 'BCOM', '2nd'),
(20231475, 'Tanvi Gupta', 'BCOM', '2nd'),
(20231476, 'Harsh Nair', 'BCOM', '2nd'),
(20231477, 'Anushka Patel', 'BCOM', '2nd'),
(20231478, 'Rajat Yadav', 'BCOM', '2nd'),
(20231479, 'Siddharth Jain', 'BCOM', '2nd'),
(20231480, 'Deepika Verma', 'BCOM', '2nd'),
(20231481, 'Kartik Singh', 'BCOM', '2nd'),
(20231482, 'Manish Agarwal', 'BCOM', '2nd'),
(20231483, 'Riya Desai', 'BCOM', '2nd'),
(20231484, 'Puneet Kapoor', 'BCOM', '2nd'),
(20231485, 'Gauri Nair', 'BCOM', '2nd'),
(20231486, 'Karan Thakur', 'BCOM', '2nd'),
(20231487, 'Nikita Singh', 'BCOM', '2nd'),
(20231488, 'Sakshi Reddy', 'BCOM', '2nd'),
(20231489, 'Kavya Joshi', 'BCOM', '2nd'),
(20231490, 'Rahul Sharma', 'BCOM', '2nd'),
(20231491, 'Neha Verma', 'BCOM', '2nd'),
(20231492, 'Aarav Gupta', 'BCOM', '2nd'),
(20231493, 'Tushar Patel', 'BCOM', '2nd'),
(20231494, 'Priya Agarwal', 'BCOM', '2nd'),
(20231495, 'Raghav Kumar', 'BCOM', '2nd'),
(20231496, 'Sonia Yadav', 'BCOM', '2nd'),
(20231497, 'Gaurav Mehta', 'BCOM', '2nd'),
(20231498, 'Disha Singh', 'BCOM', '2nd'),
(20231499, 'Vansh Khanna', 'BCOM', '2nd'),
(20242701, 'Pankaj Saini', 'BVoc. Software Development', '1st'),
(20242702, 'Aarav Sharma', 'BVoc. Software Development', '1st'),
(20242703, 'Isha Verma', 'BVoc. Software Development', '1st'),
(20242704, 'Mohit Gupta', 'BVoc. Software Development', '1st'),
(20242705, 'Ananya Rao', 'BVoc. Software Development', '1st'),
(20242706, 'Karan Singh', 'BVoc. Software Development', '1st'),
(20242707, 'Sneha Patel', 'BVoc. Software Development', '1st'),
(20242708, 'Vikram Joshi', 'BVoc. Software Development', '1st'),
(20242709, 'Neha Mehta', 'BVoc. Software Development', '1st'),
(20242710, 'Rohan Nair', 'BVoc. Software Development', '1st'),
(20242711, 'Pooja Yadav', 'BVoc. Software Development', '1st'),
(20242712, 'Rahul Bhatia', 'BVoc. Software Development', '1st'),
(20242713, 'Nisha Sood', 'BVoc. Software Development', '1st'),
(20242714, 'Kriti Sharma', 'BVoc. Software Development', '1st'),
(20242715, 'Akshay Khanna', 'BVoc. Software Development', '1st'),
(20242716, 'Tanya Agarwal', 'BVoc. Software Development', '1st'),
(20242717, 'Aditya Choudhary', 'BVoc. Software Development', '1st'),
(20242718, 'Meera Desai', 'BVoc. Software Development', '1st'),
(20242719, 'Harsh Thakur', 'BVoc. Software Development', '1st'),
(20242720, 'Simran Gill', 'BVoc. Software Development', '1st'),
(20242721, 'Vansh Rathi', 'BVoc. Software Development', '1st'),
(20242722, 'Ritika Jain', 'BVoc. Software Development', '1st'),
(20242723, 'Yash Sharma', 'BVoc. Software Development', '1st'),
(20242724, 'Divya Singh', 'BVoc. Software Development', '1st'),
(20242725, 'Siddharth Mehta', 'BVoc. Software Development', '1st'),
(20242726, 'Tanvi Kapoor', 'BVoc. Software Development', '1st'),
(20242727, 'Aditi Sharma', 'BVoc. Software Development', '1st'),
(20242728, 'Rishabh Saxena', 'BVoc. Software Development', '1st'),
(20242729, 'Ritik Gupa', 'BVoc. Software Development', '1st'),
(20242731, 'Riya Saini', 'BVoc. Software Development', '1st'),
(20242732, 'Aarav Sharma', 'BVoc. Software Development', '1st'),
(20242733, 'Isha Verma', 'BVoc. Software Development', '1st'),
(20242734, 'Mohit Gupta', 'BVoc. Software Development', '1st'),
(20242735, 'Ananya Rao', 'BVoc. Software Development', '1st'),
(20242736, 'Karan Singh', 'BVoc. Software Development', '1st'),
(20242737, 'Sneha Patel', 'BVoc. Software Development', '1st'),
(20242738, 'Vikram Joshi', 'BVoc. Software Development', '1st'),
(20242739, 'Neha Mehta', 'BVoc. Software Development', '1st'),
(20242740, 'Rohan Nair', 'BVoc. Software Development', '1st'),
(20242741, 'Pooja Yadav', 'BVoc. Software Development', '1st'),
(20242742, 'Rahul Bhatia', 'BVoc. Software Development', '1st'),
(20242743, 'Nisha Sood', 'BVoc. Software Development', '1st'),
(20242744, 'Kriti Sharma', 'BVoc. Software Development', '1st'),
(20242745, 'Akshay Khanna', 'BVoc. Software Development', '1st'),
(20242746, 'Tanya Agarwal', 'BVoc. Software Development', '1st'),
(20242747, 'Aditya Choudhary', 'BVoc. Software Development', '1st'),
(20242748, 'Meera Desai', 'BVoc. Software Development', '1st'),
(20242749, 'Harsh Thakur', 'BVoc. Software Development', '1st'),
(20242750, 'Simran Gill', 'BVoc. Software Development', '1st'),
(20242751, 'Vansh Rathi', 'BVoc. Software Development', '1st'),
(20242752, 'Ritika Jain', 'BVoc. Software Development', '1st'),
(20242753, 'Yash Sharma', 'BVoc. Software Development', '1st'),
(20242754, 'Divya Singh', 'BVoc. Software Development', '1st'),
(20242755, 'Siddharth Mehta', 'BVoc. Software Development', '1st'),
(20242756, 'Tanvi Kapoor', 'BVoc. Software Development', '1st'),
(20242757, 'Aditi Sharma', 'BVoc. Software Development', '1st'),
(20242758, 'Rishabh Saxena', 'BVoc. Software Development', '1st'),
(20242759, 'Prachi Tiwari', 'BVoc. Software Development', '1st'),
(20242760, 'Kunal Bansal', 'BVoc. Software Development', '1st'),
(20242761, 'Sakshi Yadav', 'BVoc. Software Development', '1st'),
(20242762, 'Deepak Verma', 'BVoc. Software Development', '1st'),
(20242763, 'Avantika Roy', 'BVoc. Software Development', '1st'),
(20242764, 'Raghav Sethi', 'BVoc. Software Development', '1st'),
(20242765, 'Naina Kapoor', 'BVoc. Software Development', '1st'),
(20242766, 'Vivek Gupta', 'BVoc. Software Development', '1st'),
(20242767, 'Sonam Sharma', 'BVoc. Software Development', '1st'),
(20242768, 'Aarohi Deshmukh', 'BVoc. Software Development', '1st'),
(20242769, 'Kartik Khanna', 'BVoc. Software Development', '1st'),
(20242770, 'Suman Rani', 'BVoc. Software Development', '1st'),
(20242771, 'Pranav Agarwal', 'BVoc. Software Development', '1st'),
(20242772, 'Rupal Jain', 'BVoc. Software Development', '1st'),
(20242773, 'Devendra Singh', 'BVoc. Software Development', '1st'),
(20242774, 'Lakshmi Rao', 'BVoc. Software Development', '1st'),
(20242775, 'Mohini Patel', 'BVoc. Software Development', '1st'),
(20242776, 'Himanshu Bansal', 'BVoc. Software Development', '1st'),
(20242777, 'Neeraj Saxena', 'BVoc. Software Development', '1st'),
(20242778, 'Saloni Mehta', 'BVoc. Software Development', '1st'),
(20242779, 'Ayesha Khan', 'BVoc. Software Development', '1st'),
(20242780, 'Rajat Choudhary', 'BVoc. Software Development', '1st'),
(20242781, 'Parul Gupta', 'BVoc. Software Development', '1st'),
(20242782, 'Siddhi Sharma', 'BVoc. Software Development', '1st'),
(20242783, 'Rakesh Desai', 'BVoc. Software Development', '1st'),
(20242784, 'Swati Singh', 'BVoc. Software Development', '1st'),
(20242785, 'Nikhil Joshi', 'BVoc. Software Development', '1st'),
(20242786, 'Rupal Nair', 'BVoc. Software Development', '1st'),
(20242787, 'Adya Verma', 'BVoc. Software Development', '1st'),
(20242788, 'Ishaan Roy', 'BVoc. Software Development', '1st'),
(20242789, 'Vani Tiwari', 'BVoc. Software Development', '1st'),
(20242790, 'Tejas Gupta', 'BVoc. Software Development', '1st'),
(20242791, 'Anshika Bhatia', 'BVoc. Software Development', '1st'),
(20242792, 'Kavya Joshi', 'BVoc. Software Development', '1st'),
(20242793, 'Pallavi Agarwal', 'BVoc. Software Development', '1st'),
(20242794, 'Harshita Singh', 'BVoc. Software Development', '1st'),
(20242795, 'Sahil Kumar', 'BVoc. Software Development', '1st'),
(20242796, 'Kriti Choudhary', 'BVoc. Software Development', '1st'),
(20242797, 'Samarth Khanna', 'BVoc. Software Development', '1st'),
(20242798, 'Tanya Saini', 'BVoc. Software Development', '1st'),
(20242799, 'Ravi Prakash', 'BVoc. Software Development', '1st'),
(20242401, 'Nandini Singh', 'BCOM', '1st'),
(20242402, 'Aarav Sharma', 'BCOM', '1st'),
(20242403, 'Riya Gupta', 'BCOM', '1st'),
(20242404, 'Kunal Verma', 'BCOM', '1st'),
(20242405, 'Sneha Patel', 'BCOM', '1st'),
(20242406, 'Mohit Nair', 'BCOM', '1st'),
(20242407, 'Ananya Yadav', 'BCOM', '1st'),
(20242408, 'Rahul Joshi', 'BCOM', '1st'),
(20242409, 'Pooja Agarwal', 'BCOM', '1st'),
(20242410, 'Aditya Singh', 'BCOM', '1st'),
(20242411, 'Neha Reddy', 'BCOM', '1st'),
(20242412, 'Vikram Bansal', 'BCOM', '1st'),
(20242413, 'Kriti Sharma', 'BCOM', '1st'),
(20242414, 'Harsh Thakur', 'BCOM', '1st'),
(20242415, 'Siddharth Mehta', 'BCOM', '1st'),
(20242416, 'Tanya Roy', 'BCOM', '1st'),
(20242417, 'Divya Jain', 'BCOM', '1st'),
(20242418, 'Karan Sethi', 'BCOM', '1st'),
(20242419, 'Simran Verma', 'BCOM', '1st'),
(20242420, 'Yash Gupta', 'BCOM', '1st'),
(20242421, 'Nisha Khanna', 'BCOM', '1st'),
(20242422, 'Aditi Yadav', 'BCOM', '1st'),
(20242423, 'Rahul Bhatia', 'BCOM', '1st'),
(20242424, 'Raghav Kapoor', 'BCOM', '1st'),
(20242425, 'Pallavi Desai', 'BCOM', '1st'),
(20242426, 'Nikhil Nair', 'BCOM', '1st'),
(20242427, 'Lavanya Kumar', 'BCOM', '1st'),
(20242428, 'Deepak Joshi', 'BCOM', '1st'),
(20242429, 'Maya Singh', 'BCOM', '1st'),
(20242430, 'Ishaan Roy', 'BCOM', '1st'),
(20242431, 'Neeraj Gupta', 'BCOM', '1st'),
